trait,H2_Broad,H2_narrow
N_Roots,0.793669811917402,0.464243767632416
FRY,0.663835415620381,0.365769184489871
ShY,0.831962644317739,0.536023537045309
DMC,0.789691571098247,0.535058204588515
StY,0.505138432851278,0.274669476457955
Plant.Height,0.715596419530405,0.346211564952585
HI,0.669013830335924,0.398019215497286
StC,0.789049081065209,0.535121169502964
Root.Le,0.640492613823341,0.243971535398427
Root.Di,0.657381510447958,0.29506842733305
Stem.D,0.593028033386563,0.239455829908775
Nstem.Plant,0.466908897614232,0.224501309209384
