trait,grp,VarComp,VarCompSE,Zratio,Constraint
N_Roots,Clone,1.6870180512163,0.23806043908731,7.08651155010926,Positive
N_Roots,Ano,0.468935756207227,8.07637281273891e-16,580626683636461,Positive
N_Roots,Ano:Clone,0.780851230391979,0.171245222800361,4.55984241558843,Positive
N_Roots,row,0,0.0112006380642096,0,Positive
N_Roots,col,0.0719238782068508,0.0310914692852288,2.31329943101213,Positive
N_Roots,units,1.94688760102299,0.0752254250853541,25.8807125225809,Positive
FRY,Clone,3.33551181815539,0.75296015593305,4.42986496944463,Positive
FRY,Ano,1.4220389451245,1.0144019389362e-15,1401849592889966,Positive
FRY,Ano:Clone,3.86454947475897,0.679195449303274,5.68989306203872,Positive
FRY,row,0.356389082381061,0.1348124160246,2.64359242932068,Positive
FRY,col,0.248599038642275,0.101319633197604,2.45361171173441,Positive
FRY,units,5.78365939580934,0.226860848226169,25.4943038476314,Positive
ShY,Clone,22.3331559423335,2.72161558323685,8.20584511636739,Positive
ShY,Ano,4.99110133595761,1.82330534976287e-15,2737391922097262,Positive
ShY,Ano:Clone,8.37746419732359,1.75228529168064,4.78087913942863,Positive
ShY,row,2.10208851548718,0.626302323098447,3.35634794564982,Positive
ShY,col,0.401306462422117,0.228390233121255,1.75710868603151,Positive
ShY,units,19.3313501826013,0.72732466944498,26.5787082367947,Positive
DMC,Clone,10.107236449756,1.57649204028143,6.41121946162933,Positive
DMC,Ano,2.30207773942448,1.1057141117281e-15,2081982779279732,Positive
DMC,Ano:Clone,3.68382240250578,1.0981933293287,3.35443888077303,Positive
DMC,row,0.667572169881379,0.255057914165214,2.61733564342159,Positive
DMC,col,1.11471538000966,0.386313454177575,2.88552047037239,Positive
DMC,units,8.78273918855598,0.430629004823829,20.3951408060611,Positive
StY,Clone,0.269191809599679,0.105811329140249,2.54407360522686,Positive
StY,Ano,0.164954842921295,1.16448588512104e-16,1416546520906507,Positive
StY,Ano:Clone,0.435712871343201,0.10372794690632,4.20053499889193,Positive
StY,row,0.0308402009708525,0.0155041501783855,1.98915778136922,Positive
StY,col,0.0818655603667116,0.0292600447471094,2.79786176249095,Positive
StY,units,0.71086543254854,0.034864473178154,20.3893926323248,Positive
Plant.Height,Clone,0.0173513331892331,0.00308599980690813,5.62259697826017,Positive
Plant.Height,Ano,0.00735447375953765,3.16669121372251e-19,23224473948289776,Positive
Plant.Height,Ano:Clone,0.0112009667736226,0.00255482958659492,4.38423244837681,Positive
Plant.Height,row,0.00325877325532013,0.000989270419582986,3.29411775669368,Positive
Plant.Height,col,0.00246633452255837,0.000773109647758826,3.19014842164762,Positive
Plant.Height,units,0.0327663836802465,0.00123737351990104,26.4805922813565,Positive
HI,Clone,30.9771123108341,6.97483881856348,4.44126568608134,Positive
HI,Ano,11.9974396002082,2.05575741167014e-14,583601913927247,Positive
HI,Ano:Clone,37.8766099474328,6.28077042567487,6.03056749098785,Positive
HI,row,0.793779297860616,0.557708096464578,1.4232881015939,Positive
HI,col,2.5094263194265,0.933419062232395,2.68842411834281,Positive
HI,units,46.8510706127749,1.83578022533635,25.5210672640244,Positive
StC,Clone,10.0800239855852,1.57677526506716,6.39280955815593,Positive
StC,Ano,2.2990163891828,8.18684938311642e-16,2808182099849078,Positive
StC,Ano:Clone,3.70619335544836,1.10071593403617,3.36707522880881,Positive
StC,row,0.670968351495975,0.255465467414048,2.62645420646422,Positive
StC,col,1.14414937495149,0.392489618346873,2.91510735945205,Positive
StC,units,8.7568760663186,0.429423154905246,20.3921841807782,Positive
Root.Le,Clone,5.05566539060084,1.11156500752777,4.54824086433335,Positive
Root.Le,Ano,3.12619683069498,5.62242294557714e-16,5560230635360138,Positive
Root.Le,Ano:Clone,3.51759855296769,1.0018617880559,3.51106170023068,Positive
Root.Le,row,0.521295132590798,0.250423547972323,2.08165380936305,Positive
Root.Le,col,0.345724862633833,0.191147045482545,1.80868535927961,Positive
Root.Le,units,15.6666921678106,0.610481277487679,25.6628544486801,Positive
Root.Di,Clone,8.98131471327563,1.96582396747619,4.56872785247715,Positive
Root.Di,Ano,4.65244171532326,1.24139557402544e-16,37477511702711568,Positive
Root.Di,Ano:Clone,7.99538674255427,1.76121702211414,4.53969422402966,Positive
Root.Di,row,1.11582365267238,0.44605935681191,2.50151383584336,Positive
Root.Di,col,0.402342128336214,0.248192617751055,1.62108821761885,Positive
Root.Di,units,21.4567595817361,0.838685033383568,25.5838112374219,Positive
Stem.D,Clone,0.024432231596715,0.00633361841026881,3.85754714194694,Positive
Stem.D,Ano,0.016288441597099,1.1440323231684e-18,14237745968565042,Positive
Stem.D,Ano:Clone,0.0282675039309459,0.00600773298699236,4.7051864642036,Positive
Stem.D,row,0.00240375832306776,0.00115980033472056,2.07256219118692,Positive
Stem.D,col,0.00280568392982508,0.00117894940901015,2.37981707135401,Positive
Stem.D,units,0.07760007893848,0.00292031752713425,26.572479950367,Positive
Nstem.Plant,Clone,0.102091003794492,0.0428134912990093,2.38455217495553,Positive
Nstem.Plant,Ano,0.0748327280030358,4.01367633224194e-16,186444351284390,Positive
Nstem.Plant,Ano:Clone,0.17335846719207,0.0426142222786859,4.06808942935415,Positive
Nstem.Plant,row,0,0.00305317708668585,0,Positive
Nstem.Plant,col,0,0.00235530055780244,0,Positive
Nstem.Plant,units,0.35265469080311,0.0158403831211475,22.2630152380785,Positive
